name,price
Python与有限元,41.50
Python爬虫框架Scrapy 计算机类-软件开发 迪米特里,46.02
我的Python世界 玩《Minecraft我的世界》学Python编程,57.80
笨办法学Python 3,43.10
和孩子一起玩编程 中小学编程入门书 趣学python编程入门零基础教孩子学编程的书 少儿小学生儿童趣,50.00
流畅的Python,112.90
Python数据科学手册,79.00
Python网络编程(Linux)（大数据与人工智能技术丛书）,33.10
机器人Python青少年编程开发实例,49.40
Python数据可视化,54.20
深度学习 基于Keras的Python实践 魏贞原Keras编程框架书深度学习入门和实践应用图书 深,41.40
Python 3网络爬虫开发实战+爬虫 数据清洗与可视化实战+Python网络爬虫从入门到实践教程书,149.00
深入浅出Python机器学习 段小手 清华大学出版社,53.80
Python语言在Abaqus中的应用（附CD-ROM光盘1张）,39.60
Python编程从入门到实践+Python核心编程(第3版) 组套装,137.20
笨办法学Python3 编程从入门到实践教程书 代码基于Python3.6基础教程自学书,46.00
基于ArcGIS的Python编程秘笈(第2版),51.10
人民邮电：Python编程从入门到实践,62.00
图解算法 使用Python书籍 简单有趣的算法入门书吴灿铭,36.40
Python编程导论 第2版,54.40
Python数据可视化编程实战,38.60
Python科学计算(第2版),87.90
疯狂Python讲义,94.10
Python与数据挖掘,38.10
Python编程快速上手--让繁琐工作自动化,54.24
深度实践OpenStack：基于Python的OpenStack组件开发,65.20
【RY】正版 Python数据分析 第二2版 Python 数据科学教程书 数据分析 Python机,46.90
Python网络编程(Linux),19.30
Python地理空间分析指南(第2版),58.50
【RY】教孩子学编程Python语言版 python从入门到实践 python核心技术 pytho,40.10
笨办法学python3 基础教程 精通核心编程语言书籍 计算机程序设计从零到入门到实践手册,46.90
流畅的Python  语言编程教程书籍 python代码大全 爬虫Python,138.00
机器学习：使用OpenCV和Python进行智能图像处理,60.60
Head First Python(中文版)第二版 python从入门到实践 python编程,76.00
零基础入门学习Python 程序设计 零基础学编程核心学习教程随书附送96集免费视频教程,34.80
Python可以这样学,55.20
深入浅出深度学习：原理剖析与Python实践,70.30
基于深度学习的自然语言处理+Python自然语言处理实战 套装共2册,124.20
Python机器学习实践:测试驱动的开发方法,39.50
零起点Python机器学习快速入门,49.40
Python高手之路(第3版),40.70
包邮 Python自然语言处理实战：核心技术与算法|8004503,48.30
Python自然语言处理,65.20
