name,price
PYTHON编程导论(第2版),51.10
笨办法学python3 基础教程 精通核心编程语言书籍 计算机程序设计从零到入门到实践手册,46.90
Python机器学习入门（影印版 英文版）,72.30
包邮Python3网络爬虫开发实战+Python3爬虫 数据清洗与可视化实战+数据分析入门,140.60
趣学Python编程,35.50
Python 3网络爬虫开发实战 崔庆才 9787115480347,57.42
深入浅出深度学习：原理剖析与Python实践,70.30
树莓派Python编程入门与实战(第2版),51.10
教孩子学编程(Python语言版),45.40
从零开始学Python网络爬虫,44.80
PYTHON基础教程(第3版),80.19
零基础学Python（全彩版）,39.90
流畅的Python  语言编程教程书籍 python代码大全 爬虫Python,138.00
Python数据分析实战,46.60
Python 3网络爬虫开发实战 Python 3网络爬虫开发实战 python语言编程教,71.20
正版 Python编程从零基础到项目实战 微课视频版 刘瑜 Python基础教程第3版P,67.20
Python高效开发实战：Django、Tornado、Flask、Twisted,79.20
Python数据可视化编程实战,38.60
图解数据结构--使用Python,63.20
11招玩转网络安全：用Python，更安全,57.80
流畅的Python [巴西]卢西亚诺·拉马略(Luciano Ramalho) 人民邮电出,102.80
Python绝技,59.30
Python编程 从入门到实践,72.70
Python金融实战,62.40
Python地理数据处理,58.80
包邮 Python地理空间分析指南+基于ArcGIS的Python编程 教你如何完成地理信息处理,108.80
Python 黑帽子：黑客与渗透测试编程之道,43.40
Python编程从入门到实践+Python基础教程（第3版）（套装共2册）,118.40
Python 3.7从零开始学,64.00
Python 3 数据分析与机器学习实战,50.30
自动化平台测试开发：Python测试开发实战,54.40
算法图解,40.00
跟老齐学Python：Django实战,61.40
Python从入门到精通（软件开发视频大讲堂）,64.60
Python数据分析入门――从数据获取到可视化,52.50
像计算机科学家一样思考Python 第2版,38.60
Python学习手册（原书第5版） 计算机与互联网 书籍|8053406,153.30
Python 3 面向对象编程（第2版）,82.90
Python数据分析与挖掘实战 Python核心编程 Python语言开发入门教程 Python编程,49.90
Python语言程序设计基础(第2版),30.30
Python编程入门 (第3版 ),30.00
正版 Python带我起飞:入门、进阶、商业实战 计算机 网络 程序设计 Python入,61.80
利用Python进行数据分析（原书第2版） 计算机与互联网 书籍|8050025,82.00
Python机器学习实践：测试驱动的开发方法,45.80
Python黑帽子,40.40
零基础学Python（全彩版）,57.90
Python编程从入门到精通,66.20
Python核心编程（第3版）,80.90
Python从入门到项目实践（全彩版）,72.40
Python基础教程（第3版）,80.90
Python编程从零基础到项目实战（微课视频版）,63.80
Python计算机视觉编程,50.00
Python程序设计案例课堂,52.40
现货  “笨办法”学Python（第3版 附光盘1张） Python入门书籍,38.50
Python核心编程（第3版）,99.00
Python数据分析与挖掘实战/大数据技术丛书,56.60
包邮 Python游戏编程入门 +Python游戏编程快速上手 第4版 2本,89.00
包邮 Python编程从入门到精通 叶维忠 著 python语言编程教程书籍 人民邮电出版社,58.60
和孩子一起玩编程 中小学编程入门书 趣学python编程入门零基础教孩子学编程的书 少儿小学生儿童趣,50.00
Python编程导论 第2版,54.40
数据结构与算法：Python语言实现 计算机与互联网 书籍|1016124,75.50
Python基础教程 第3版Python简明教程书籍 Python编程从入门到实践 灵程序设计丛书,69.60
Python程序设计 第3版,54.50
Python数据分析 第2版,54.40
Python袖珍指南（第5版）,30.00
从零开始学Python数据分析与挖掘,64.00
Python机器学习 预测分析核心算法,54.40
Python带我起飞 入门、进阶、商业实战,70.30
Python深度学习,46.50
Python程序员面试算法宝典,53.60
正版包邮 Python编程 从入门到实践 基本教程到完整项目开发爬虫学习数据分析处理 语言程序设计p,59.00
Python机器学习基础教程,57.30
图解算法 使用Python书籍 简单有趣的算法入门书吴灿铭,36.40
